,Product Name,Product Price,Key Features,Availability,Image Link,Product Link,brand
16,Canon Vixia HF G50 UHD 4K Camcorder (Black),"$1,099","1/2.3"" UHD 4K CMOS Sensor,Record up to UHD 4K30 Video,DIGIC DV 6 Image Processor,8-Blade Circular Aperture",In Stock,,https://www.bhphotovideo.com/c/product/1451710-REG/canon_3667c002_vixia_hf_g50_4k.html,Canon
17,Sony HDR-CX405 HD Handycam,$229,"Full HD Video / 9.2MP Stills,Exmor R CMOS sensor,Bionz X Processor,Zeiss 30x Optical Zoom Lens",In Stock,,https://www.bhphotovideo.com/c/product/1109390-REG/sony_hdr_cx405_hd_camcorder.html,Sony
18,Mevo Start Live Streaming Camera,$328,"Stream and/or Record up to 1080p30,Three-Mic Array + External Audio Support,Controlled via Live Production Mevo App,6-Hour Battery; NDI-Enabled Video Output",In Stock,,https://www.bhphotovideo.com/c/product/1547920-REG/mevo_mv3_01b_bl_start_camera.html,Mevo
19,Zoom Q2n-4K Handy Video Recorder,$219,"Up to 4K at 30 fps or 1080p60 Video,1/2.3"" CMOS Sensor,150° f/2.8 Wide-Angle Lens,5 x Wide to Tele Field-of-View Settings",In Stock,,https://www.bhphotovideo.com/c/product/1441156-REG/zoom_zq2n4k_q2n_4k_video_recorder.html,Zoom
20,"Panasonic HC-V180K Full HD Camcorder (Black, Refurbished)",$219,"1080p Video at 60 fps,1/5.8"" BSI MOS Sensor,50x Optical Zoom & 90x Intelligent Zoom,5-Axis HYBRID O.I.S.+ and Level Shot",In Stock,,https://www.bhphotovideo.com/c/product/1659984-REG/panasonic_hc_v180kr_hc_v180k_full_hd_camcorder.html,Panasonic
21,Panasonic HC-V180K Full HD Camcorder (Black),$229,"1080p Video at 60 fps,1/5.8"" BSI MOS Sensor,50x Optical Zoom & 90x Intelligent Zoom,5-Axis HYBRID O.I.S.+ and Level Shot",In Stock,,https://www.bhphotovideo.com/c/product/1211809-REG/panasonic_hc_v180k_hc_v160k_full_hd_camcorder.html,Panasonic
22,Sony FDR-AX43 UHD 4K Handycam Camcorder,$948,"UHD 4K 24/30p & 16.6MP Stills,Built-In Gimbal, Optical Stabilization,1/2.5"" Exmor R Low-Light CMOS Sensor,20x Optical Zoom & 40x Clear Image Zoom",In Stock,,https://www.bhphotovideo.com/c/product/1546234-REG/sony_fdrax43_b_fdr_ax43v_full_hd_4k.html,Sony
23,KJB Security Products RF Wireless Signal Detector,$495,"Detects Bugging Devices,Locate Wireless Devices,Finds DECT, GSM, and RF Devices,Battery Powered for up to 20 Hours",In Stock,https://static.bhphoto.com/images/images345x345/1561549850_919547.jpg,https://www.bhphotovideo.com/c/product/919547-REG/kjb_security_products_dd1206_rf_wireless_signal.html,KJB
24,Canon XA45 Professional UHD 4K Camcorder,"$2,099","8.29MP, 1/2.3"" CMOS Sensor,Up to UHD 4K30 Video Recording,Mini-HDMI and 3G-SDI Outputs,Integrated 20x Optical Zoom Lens",In Stock,,https://www.bhphotovideo.com/c/product/1470021-REG/canon_3665c002_xa45_professional_uhd_4k.html,Canon
25,Panasonic HC-X2000 UHD 4K 3G-SDI/HDMI Pro Camcorder with 24x Zoom,"$2,197","Up to UHD 4K60 Video, 3G-SDI & HDMI Out,1/2.5"" 8.29M MOS Sensor, Venus Engine,24x Optical Zoom, 48x Digital iZoom,120 fps Slow Motion, Live RTP Streaming",In Stock,,https://www.bhphotovideo.com/c/product/1528016-REG/panasonic_hc_x2000_4k_uhd_full_hd.html,Panasonic
