الدولة,المحافظة,الجنسية,المستوي التعليمي,دبلوم نظام ٥ سنوات (فوق متوسط),الكلية/المعهد,عام التخرج,سنة الميلاد,النوع,الخدمة العسكرية,كيف علمت عن فرصنا
,,,,,,,,ذكر,,
,,الهند,,,المعهد العالى للموسيقى - الكونسرفتوار,1967,1948,,,
,,الولايات المتحدة الأمريكية,,,المعهد العالى للفنون الشعبية,1966,1947,,,
,,اليابان,,,المعهد العالى للنقد الفنى,1965,1946,,,
,,اليمن,,,كلية التكنولوجيا الحيوية,1964,1945,,,
,,اليونان,,,كلية العلوم السينمائية والمسرحية,1963,1944,,,
,,بابوا غينيا الجديدة,,,,1962,1943,,,
,,باراغواي,,,,1961,1942,,,
,,باكستان,,,,1960,1941,,,
,,بالاو,,,,1959,1940,,,
,,بتسوانا,,,,1958,1939,,,
,,بربادوس,,,,1957,1938,,,
,,برمودا,,,,1956,1937,,,
,,بروناي,,,,1955,1936,,,
,,بلجيكا,,,,1954,1935,,,
,,بلغاريا,,,,1953,1934,,,
,,بليز,,,,1952,1933,,,
,,بنجلاديش,,,,1951,1932,,,
,,بنما,,,,1950,1931,,,
,,بنين,,,,1949,1930,,,
,,بوتان,,,,1948,1929,,,
,,بورتوريكو,,,,1947,1928,,,
,,بوركينا فاسو,,,,1946,1927,,,
,,بوروندي,,,,1945,1926,,,
,,بولندا,,,,1944,1925,,,
,,بوليفيا,,,,1943,1924,,,
,,بولينيزيا الفرنسية,,,,1942,1923,,,
,,بيرو,,,,1941,1922,,,
,,تانزانيا,,,,1940,1921,,,
,,تايلند,,,,1939,1920,,,
,,تايوان,,,,1938,1919,,,
,,تركمانستان,,,,1937,1918,,,
,,تركيا,,,,1936,1917,,,
,,ترينيداد وتوباغو,,,,1935,1916,,,
,,تشاد,,,,1934,1915,,,
,,توجو,,,,1933,1914,,,
,,توفالو,,,,1932,1913,,,
,,توكيلو,,,,1931,1912,,,
,,تونس,,,,1930,1911,,,
,,تونغا,,,,1929,1910,,,
,,تيمور الشرقية,,,,1928,1909,,,
,,جامايكا,,,,1927,1908,,,
,,جبل طارق,,,,1926,1907,,,
,,جزر الترك وجايكوس,,,,1925,1906,,,
,,جزر القمر,,,,1924,1905,,,
,,جزر الكايمن,,,,1923,1904,,,
,,جزر المارشال,,,,1922,1903,,,
,,جزر المالديف,,,,1921,1902,,,
,,جزر سليمان,,,,1920,,,,
,,جزر فارو,,,,1919,,,,
,,جزر فرجين الأمريكية,,,,1918,,,,
,,جزر فرجين البريطانية,,,,1917,,,,
,,جزر فوكلاند,,,,1916,,,,
,,جزر كوك,,,,1915,,,,
,,جزر ماريانا الشمالية,,,,1914,,,,
,,جزر والس وفوتونا,,,,1913,,,,
,,جزيرة أسينشيون,,,,1912,,,,
,,جزيرة نورفوك,,,,1911,,,,
,,جمهورية أفريقيا الوسطى,,,,1910,,,,
,,جمهورية التشيك,,,,1909,,,,
,,جمهورية الدومينيك,,,,1908,,,,
,,جنوب أفريقيا,,,,1907,,,,
,,جنوب السودان,,,,1906,,,,
,,جوادلوب,,,,1905,,,,
,,جورجيا,,,,1904,,,,
,,جيبوتي,,,,1903,,,,
,,دومينيكا,,,,1902,,,,
,,رواندا,,,,1901,,,,
,,روسيا,,,,,,,,
,,روسيا البيضاء,,,,,,,,
,,رومانيا,,,,,,,,
,,روينيون,,,,,,,,
,,زامبيا,,,,,,,,
,,زيمبابوي,,,,,,,,
,,ساحل العاج,,,,,,,,
,,ساموا,,,,,,,,
,,ساموا الأمريكية,,,,,,,,
,,سان بارتليمي,,,,,,,,
,,سانت بيير وميكولون,,,,,,,,
,,سانت فنسنت وغرنادين,,,,,,,,
,,سانت كيتس ونيفيس,,,,,,,,
,,سانت لوسيا,,,,,,,,
,,سانت مارتن,,,,,,,,
,,سانت هيلنا,,,,,,,,
,,سان مارينو,,,,,,,,
,,ساو تومي وبرينسيبي,,,,,,,,
,,سريلانكا,,,,,,,,
,,سلوفاكيا,,,,,,,,
,,سلوفينيا,,,,,,,,
,,سنغافورة,,,,,,,,
,,سوازيلاند,,,,,,,,
,,سوريا,,,,,,,,
,,سورينام,,,,,,,,
,,سويسرا,,,,,,,,
,,سيراليون,,,,,,,,
,,سيشل,,,,,,,,
,,سينت مارتن,,,,,,,,
,,شيلي,,,,,,,,
,,صربيا,,,,,,,,
,,طاجكستان,,,,,,,,
,,عُمان,,,,,,,,
,,غامبيا,,,,,,,,
,,غانا,,,,,,,,
,,غرينادا,,,,,,,,
,,غرينلاند,,,,,,,,
,,غواتيمالا,,,,,,,,
,,غوام,,,,,,,,
,,غويانا الفرنسية,,,,,,,,
,,غيانا,,,,,,,,
,,غينيا,,,,,,,,
,,غينيا الإستوائية,,,,,,,,
,,غينيا بيساو,,,,,,,,
,,فانواتو,,,,,,,,
,,فرنسا,,,,,,,,
,,فلسطين,,,,,,,,
,,فنزويلا,,,,,,,,
,,فنلندا,,,,,,,,
,,فيتنام,,,,,,,,
,,فيجي,,,,,,,,
,,قبرص,,,,,,,,
,,قرغيزستان,,,,,,,,
,,قطر,,,,,,,,
,,كازاخستان,,,,,,,,
,,كاليدونيا الجديدة,,,,,,,,
,,كرواتيا,,,,,,,,
,,كمبوديا,,,,,,,,
,,كندا,,,,,,,,
,,كوبا,,,,,,,,
,,كوراساو,,,,,,,,
,,كوريا الجنوبية,,,,,,,,
,,كوريا الشمالية,,,,,,,,
,,كوستاريكا,,,,,,,,
,,كولومبيا,,,,,,,,
,,كيريباتي,,,,,,,,
,,كينيا,,,,,,,,
,,لاتفيا,,,,,,,,
,,لاوس,,,,,,,,
,,لبنان,,,,,,,,
,,لوكسمبورغ,,,,,,,,
,,ليبيا,,,,,,,,
,,ليبيريا,,,,,,,,
,,ليتوانيا,,,,,,,,
,,ليختنشتاين,,,,,,,,
,,ليسوتو,,,,,,,,
,,مارتينيك,,,,,,,,
,,مالطا,,,,,,,,
,,مالي,,,,,,,,
,,ماليزيا,,,,,,,,
,,مدغشقر,,,,,,,,
,,مقدونيا,,,,,,,,
,,مكاو,,,,,,,,
,,ملاوي,,,,,,,,
,,منغوليا,,,,,,,,
,,موريتانيا,,,,,,,,
,,موريشيوس,,,,,,,,
,,موزمبيق,,,,,,,,
,,مولدافيا,,,,,,,,
,,موناكو,,,,,,,,
,,مونتسرات,,,,,,,,
,,ميانمار -بورما,,,,,,,,
,,ميكرونيزيا,,,,,,,,
,,ناميبيا,,,,,,,,
,,ناورو,,,,,,,,
,,نيبال,,,,,,,,
,,نيجيريا,,,,,,,,
,,نيكاراغوا,,,,,,,,
,,نيوزيلاندا,,,,,,,,
,,نيوي,,,,,,,,
,,هايتي,,,,,,,,
,,هندوراس,,,,,,,,
,,هنغاريا,,,,,,,,
,,هولندا,,,,,,,,
,,هولندا الكاريبية,,,,,,,,
,,هونغ كونغ,,,,,,,,
